ID,RecorderName,Date,DateAccuracy,Time,TimeAccuracy,PathName,SubPathName,AffectRoad,HitRoad,RoadPlowed,TimeToClear,RoadDamageLength,AvalancheType,AvalancheTrigger,AvalancheBedSurface,PercentPath,PercentSubPath,HorizStartZoneLoc,VertStartZoneLoc,SizeRelativetoPath,SizeDestructiveForce,ObservationPoint,MaxCrownDepth,AveCrownDepth,CrownWidth,StartElevationFeet,VerticalRunFeet,StartZoneAspect,StartZoneSlope,StartZoneAlpha,RoadBurialLength,RoadBurialDepth,Comments
9,Lundy,4/22/2003,Actual,5:45:00,Actual,Haystack Creek,Show You,Yes,Yes,Yes,3,15,WS,N,O,30,75,Left,Top,4,4,Site,1.5,1.5,1.5,8000,4500,270,37,NA,50,3,"-avalanche witnesses by local biker
-largest slide of late-April wet slab cycle
-failure layer = November facets atop rain crust
-facet layer decomposed but not saturated
-took out about 40 feet of rock wall on the road
-some saturated layers observed in snow profile at crown"
10,Lundy,4/22/2003,Approximate,NA,Approximate,Triple Arches,left,Yes,Yes,No,NA,NA,WS,N,O,40,70,Left,Top,4,4,Adjacent,1,1,1,7800,3500,230,40,NA,30,1,"-may have ocurred 4/23/2003, no way to verify
-apparent  failure layer =  old facets atop rain crust
-starting zone rocky and snowpack thinner
-hit Logan Creek, and continued down streambed several hundred feet
-appears a small fracture iniated in a narrow upper chute, then stepped out wider in main bowl"
11,Lundy,4/23/2003,Actual,NA,Approximate,Big Bend,middle,Yes,Yes,No,NA,NA,WS,N,O,30,70,Middle,Top,4,4,Adjacent,1.5,1.5,1.5,8200,3500,270,37,NA,30,NA,"-initial fracture propagated over prominent nose/subridge and initiated a secondary and smaller slab on north side of bowl towards haystack saddle -- this slab did not run far
-main debris hit Logan Creek, then continued down streambed several hundred feet
-debris scoured out snow (old debris) on road, left snow shallower where slide came through
-ran to looker's left of rock cliff directly above road
-apparent failure layer = November facets atop rain crust"
13,Lundy,4/22/2003,Approximate,NA,NA,Granite Creek,north of grinnell overlook,No,N/A,N/A,N/A,N/A,WS,N,O,1,10,Left,Top,2,2,Site,1.2,1.2,1.2,7500,700,190,38,NA,N/A,N/A,NA
14,Lundy,4/20/2003,Actual,NA,Approximate,Peak 7850,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,2,1.5,Distant,1,1,1,7500,300,90,NA,NA,N/A,N/A,"-substantial glide cracks noted 4/20/2003, release noted 4/21/2003
-smooth rock bed surface

From Lundy notebook:
""4/21...1500É.apparent glide crack release between Anaconda Pk & Mt. Geduhn""
""4/25ÉSlide Cycle - Wet Slabs 4/20-23: 4/20? Some debris from small glide release near Geduhn. 4/ 21 Above glide crack fully released class 2.5 (CA). - Small Adjacent release.""

Crown width (15m) seems suspect given R3/D2.5.
Given above notes, changed this entry from to R2/ d1.5 and entered second event on 4/ 21 as d2.5. br 11/9/06"
15,Lundy,4/23/2003,Actual,NA,Approximate,Peak 7850,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,3,Distant,1,1,1,7500,500,90,NA,NA,N/A,N/A,"-glide release next to one observed on 4/20/2003

From Lundy notebook:
""4/24...Large wet slab released in Anaconda Pk. Region next to previously noted glide slab. This had released before, but went much larger yesterday. This was probably a glide release as N-WS-GND-3CA""
also from lundy notebook 4/24:
""Slide Cycle - Wet Slabs 4/20-23-4/23 Slope adjacent to Geduhn Glide Release Class 3 (CA)""

Initially recorded in database as having estimated crown width of 50m - given that described as > than previous slide, which was d2.5 and ""200'"" wide, increased est. crown width to 85m. Br 11-9-06"
16,Reardon,5/11/2003,Approximate,NA,Approximate,2nd Chute Below Triple Arches,NA,Yes,Yes,Yes,NA,NA,WL,N,O,NA,NA,NA,NA,2,1,Site,NA,NA,NA,NA,NA,225,NA,NA,20,3.5,NA
17,Reardon,5/11/2003,Approximate,NA,Approximate,1st Chute Below Triple Arches,NA,Yes,Yes,Yes,1,NA,WL,N,O,NA,NA,NA,NA,2,2,Site,NA,NA,NA,NA,NA,225,NA,NA,65,8,NA
18,Reardon,5/11/2003,Approximate,NA,Approximate,Chute Above Triple Arches,NA,Yes,Yes,Yes,NA,NA,WL,N,O,NA,NA,NA,NA,2,2.5,Site,NA,NA,NA,NA,NA,270,NA,NA,20,5,NA
19,Lundy,5/12/2003,Approximate,NA,Approximate,Mt. Vaught,East face,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,2,2,Distant,NA,NA,NA,8000,NA,70,NA,NA,N/A,N/A,"-two glide releases, exact occurrence date unknown due to poor visibility on preceeding days
-could not visualize runout to determine debris extent
-larger of two releases steps wider below initial failure

From Lundy notebook 5/14
""- 2 glide releases at 8000' on E. Face of Mt. Vaught, above a wide crack that hasn't released. Larger one stepped oout wider after failure small = ~100' across, large=~2--' across
- Can't see full length of large crack beneath releases, but probably 600' in view.""

From Reardon notebook 5/14:
""E. Face Mt. Vaught: 2 glide releases & 1 lg crack visible in PM from 3 arches area. ~7900-800' elevation E facing steep slope. Left failed to ground. Right to old snow near ground - stepped wider @ bottom into old snow. L: ~125' wide R: ~200' wide. May have occurred anytime recently.""

Not noted 5/8 w/ clear skies in AM, or 5/13, w/ clouds & VF.

Aspect adjusted from 90 to 60 based on topo map examination.Start elev. Adjusted to 8100'  Expanded notes, added 2nd smaller/ leftmost slideBr 11/9/06"
20,Lundy,5/12/2003,Approximate,NA,NA,Granite Creek,south of Grinnell Overlook,Yes,NA,NA,NA,NA,GS,N,G,NA,NA,NA,Middle,2,2,Adjacent,1.5,1.5,1.5,7000,500,245,NA,NA,NA,NA,"-2 small glide releases, 30m wide each
-didn't see last week so unsure of exact occurrence date

From Lundy notebook 5/19:
""-2 small glide releases in (upper) Granite Ck. Both ~100' wide, class 2, prob. From last week, start elev. ~7000'.""

From Reardon notebook 5/19:
""2 class 2 glide releases in rockbands below notch S. of Gem Glacier overlook. Weekend snow on bed surface - likely released last week."""
21,Lundy,5/12/2003,Approximate,NA,NA,Trapper Peak,North Ridge,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,Top,3,2.5,Distant,NA,NA,NA,7325,500,60,NA,NA,N/A,N/A,"-1 large, 1 small glide release
-didn't see previous week due to visibility.

From Lundy Notebook 5/19:
""-Large glide release on Vulture (?) Pk probably last week, class 3ish, down to rock bed sfc, runout not very visible - also, smaller glide release right next to it. Class 2 ~ 7200-7400'.""

From Reardon notebook 5/19:
""Class 3 wet slab/ glide releases near Vulture/ Nahsukin/ Trapper. 
- Likely last week
-SE-NE slope, 72-7400'?
-Class 3, class 2""
Diagram in notebook shows left slide larger, at ridgeline; right slide smaller & below ridgeline; both left of Nahsukin.

Adjusted initial start zone aspect of 45 to 60 & start elev. To 7325' based on topo. Added 2nd smaller slide. Br 11/9/06"
22,Lundy,5/18/2003,Actual,3:00:00,Approximate,Slopes,1,Yes,Yes,Yes,NA,NA,WL,N,S,NA,NA,NA,NA,2,1,Adjacent,NA,NA,NA,NA,NA,270,NA,NA,5,1.5,"-new 5"" snow sluffed on frozen crust after short period of sunshine on 5/18/2003"
23,Lundy,5/19/2003,Actual,NA,Approximate,1st Chute Below Triple Arches,NA,Yes,Yes,Yes,0.25,NA,WL,N,S,NA,NA,NA,NA,2,1,Adjacent,NA,NA,NA,NA,NA,270,NA,NA,10,2,"-new 5"" snow sluffed on frozen crust after period of sunshine on 5/19/2003"
24,Lundy,5/19/2003,Actual,NA,Approximate,Slopes,1,Yes,Yes,Yes,0.25,NA,WL,N,S,NA,NA,NA,NA,2,1,Adjacent,NA,NA,NA,NA,NA,270,NA,NA,15,2.5,"-new 5"" snow sluffed on frozen crust after period of sunshine on 5/19/2003"
25,Lundy,5/19/2003,Actual,NA,Approximate,Slopes,5,Yes,Yes,Yes,0.25,NA,WL,N,S,NA,NA,NA,NA,2,1,Adjacent,NA,NA,NA,NA,NA,270,NA,NA,15,2.5,"-new 5"" snow sluffed on frozen crust after period of sunshine on 5/19/2003"
26,Lundy,5/19/2003,Actual,NA,Approximate,Slopes,6,Yes,Yes,Yes,0.25,NA,WL,N,S,NA,NA,NA,NA,2,1,Adjacent,NA,NA,NA,NA,NA,270,NA,NA,15,2.5,"-new 5"" snow sluffed on frozen crust after period of sunshine on 5/19/2003"
27,Lundy,5/24/2003,Actual,NA,NA,Heavens Gate,Heavens Gate,Yes,No,Yes,N/A,N/A,GS,N,G,30,NA,Left,Middle,4,3.5,Distant,7,7,7,7750,4150,70,NA,NA,N/A,N/A,"-large glide slab release below and south of northeast ridge on Heavens Peak
-ran nearly full path - within several hundred feet of MacDonald Creek
-released at buried rockband
-crown on left side very deep, maybe > 7m
-debris ran through previously dry path

From Lundy notebook 5-2503:
""-Class 4 release on Heavens WS or glide release, 8000-3600, NE aspect.""

Dimensions checked from photos and topo. Initial size d4 adjusted to d3.5; initial elev. 8000' adjusted to 7750'; aspect adjusted from 45 to 70; vertical fall adjusted to 4150'. 11/9/06 br."
28,Lundy,5/24/2003,Actual,NA,NA,Heavens Peak Remnant Glacier,HPRG,No,N/A,N/A,N/A,N/A,GS,N,G,15,NA,Middle,Middle,3,2.5,Distant,3,3,3,7200,500,55,NA,NA,N/A,N/A,"From Lundy notebook 5/25:
""Class 2.5 glide release on NE face of Heavens, from crack we've been watching below glacier remanant""

-bedrock glide surface

Dimensions checked; start zone aspect adjusted from 45 to 55 degrees based on photos and topo. br 11-9-06"
29,Lundy,5/24/2003,Approximate,NA,NA,Mt. Vaught,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,3,2.5,Distant,NA,NA,NA,8000,NA,60,NA,NA,N/A,N/A,"-another glide release in same area as others

From Lundy notebook 5-20:
""New/calving releases on Vought & Nashukin""

Start zone aspectadjusted based on photos and topo from 45 to 60. br 11/9/06."
31,Lundy,5/29/2003,Approximate,NA,NA,Heavens Gate,Heavens Gate,Yes,No,No,N/A,N/A,GS,N,G,50,NA,Middle,Top,4,3.5,Distant,10,10,10,8100,4000,65,NA,NA,N/A,N/A,"-additional glide ""calve"" from 5/24/03 glide avalanche
-slab bigger than first release, pulled out remaining snow beneath cliff
-couldn't exactly determine where new debris ended, but it appears maybe it ran to within 500 feet of debris toe from 5/24/03

Dimensions checked on photo and topo. Adjusted start zone aspect from 45 to 65. br 11/9/06."
32,Lundy,5/18/2003,Actual,3:00:00,Approximate,Slopes,2,Yes,Yes,Yes,NA,NA,WL,N,S,NA,NA,NA,NA,2,1,Adjacent,NA,NA,NA,NA,NA,270,NA,NA,5,1.5,"-new 5"" snow sluffed on frozen crust after short period of sunshine on 5/18/2003"
33,Lundy,5/18/2003,Actual,3:00:00,Approximate,Slopes,4,Yes,Yes,Yes,NA,NA,WL,N,S,NA,NA,NA,NA,2,1,Adjacent,NA,NA,NA,NA,NA,270,NA,NA,5,1.5,"-new 5"" snow sluffed on frozen crust after short period of sunshine on 5/18/2003"
34,Lundy,5/18/2003,Actual,3:00:00,Approximate,Slopes,5,Yes,Yes,Yes,NA,NA,WL,N,S,NA,NA,NA,NA,2,1,Adjacent,NA,NA,NA,NA,NA,270,NA,NA,5,1.5,"-new 5"" snow sluffed on frozen crust after short period of sunshine on 5/18/2003"
35,Lundy,5/18/2003,Actual,3:00:00,Approximate,Slopes,6,Yes,Yes,Yes,NA,NA,WL,N,S,NA,NA,NA,NA,2,1,Adjacent,NA,NA,NA,NA,NA,270,NA,NA,5,1.5,"-new 5"" snow sluffed on frozen crust after short period of sunshine on 5/18/2003"
36,Lundy,4/23/2003,Actual,NA,Approximate,Haystack Creek,Show You,Yes,Yes,Yes,1,NA,WS,N,O,1,5,Left,Top,3,2.5,Adjacent,1,1,1,8000,2800,270,38,NA,30,3,-hangfire release from previous day's class 4 wet slab
37,Lundy,4/22/2003,Approximate,NA,NA,Siyeh Bend,NA,Yes,No,No,N/A,N/A,WS,N,O,70,NA,Middle,Top,3,3,Adjacent,1,1,1,8400,2400,100,NA,NA,N/A,N/A,"-observed from helicopter overflight 4/24/2003
-probably occurred between 4/19 and 4/24/2003
-only observed wet slab in late-April cycle that occurred on east aspect
-did not reach road"
38,Reardon,4/6/2003,Actual,NA,Approximate,Boyack's,NA,Yes,Yes,No,NA,NA,LL,N,O,NA,NA,NA,NA,1,0.5,Distant,3,3,3,7600,600,60,NA,NA,NA,NA,NA
39,Reardon,4/6/2003,Actual,NA,Approximate,SBRC,NA,Yes,Yes,No,NA,NA,LL,N,O,NA,NA,NA,Top,1,0.5,Distant,NA,NA,NA,6000,1000,225,NA,NA,NA,NA,NA
40,Reardon,4/8/2003,Approximate,NA,NA,Heavens Peak East Ridge,Pt. 6752 slabs,No,N/A,N/A,N/A,N/A,HS,N,O,NA,NA,Middle,Middle,3,2,Distant,NA,NA,NA,6600,175,35,40,NA,N/A,N/A,"from notebook:
2 slabs on steep, E facing slopes on SE ridge of Heaven's {aspects corrected in database record]
1 below/ West of pt 6752 - class 2, midslope release ~ 40 cm deep, 75 m across above rocks 40 deg+...
both slabs formed from Monday/ Tuesday windloading. Possibly triggered by warming, rain, or rollerballs.

additional notes: visibility poor on 4/8.  USGS party at Granite Park saw fracture evening of 4/8 when visibility improved.  Observed from road 4/9."
41,Reardon,4/8/2003,Approximate,NA,NA,Heavens Peak East Ridge,Pt. 6752 slabs,No,N/A,N/A,N/A,N/A,HS,N,O,NA,NA,Middle,Top,3,3,Distant,0.9,0.9,0.9,7250,450,25,40,NA,N/A,N/A,"from notebook:
2 slabs on steep, E facing slopes on SE ridge of Heaven's {aspects corrected in database record]
1 S/E of cliffs & rocks E of glacier. class 3 released @ rocks on ridgeline. Debris behind moraine ~ 7250 class 3 ~ 175 m v[ertical] drop, ~100m across, 20-90 cm? Deep. ~40 deg.

additional notes: visibility poor on 4/8.  USGS party at Granite Park saw fracture evening of 4/8 when visibility improved.  Observed from road 4/9."
42,Dundas,4/16/2003,Approximate,NA,NA,SBRC,NA,Yes,Yes,Yes,0.25,NA,WL,N,O,NA,NA,Middle,Top,1,0.5,Site,NA,NA,NA,5600,500,225,NA,NA,NA,NA,"From notebook:
Wet point release ran 500' vertical onto road at SBRC. Wet sluffs adjacent to south edge of this sluff ran on 4-15/16-03.

Possible fresh sluffs in Haystack Ck S-SW.

Trace new snow on road
Several (?) inches above 7000'
small sluffs associated w/ new snow @ 7000'

Mostly precipitated as rain on road"
43,Dundas,4/17/2003,Actual,NA,Actual,SBRC,NA,Yes,Yes,Yes,0.25,NA,WL,N,O,NA,NA,Left,Top,1,0.5,Site,NA,NA,NA,5600,500,225,NA,NA,NA,NA,"from notebook:
-2 new point releases hit road overnight. 1 adjacent to north side of SBRC pt release from 4-17. 1 further north in SBRC."
44,Reardon,4/16/2003,Approximate,NA,NA,Mt. Brown,Right Gully,No,N/A,N/A,N/A,N/A,WS,N,O,NA,NA,Right,Middle,1,1,Distant,0.4,0.4,0.4,5600,NA,315,NA,NA,N/A,N/A,"from notebook:
class 1.5 wet slab ~ 5600 right gully Mt. Brown ~30-40 cm deep? 
Released yesterday? Day before? (whiter colored snow from sluff to left?"
45,Reardon,4/13/2003,Approximate,NA,NA,Bird Woman Basin,NA,No,N/A,N/A,N/A,N/A,NA,N,O,NA,NA,Middle,Top,2,1.5,Distant,NA,NA,NA,6000,600,300,NA,NA,N/A,N/A,NA
46,Lundy,4/6/2004,Approximate,NA,NA,Peak 7850,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,NA,NA,NA,2.5,Distant,NA,NA,NA,7500,800,110,NA,NA,N/A,N/A,"-glide avalanche 1/2 on pt7850
-roughly same avalanche occurred last spring

From Lundy notebook 4/7:
""Glide releases on Pt. 7850 near Mount Geduhn, same as last year, occurred since 4/3. Pt 7850 2 glide Ax's, D2.5, E-SE, 800' vert""

From Reardon notebook 4/7:
""5 class 2.5 glide avalanches on ridge SE of Geduhn - debris very white - yesterday? Were not there on Saturday's overflight. PT 7774, next point W (pt 7850) 2 E-NE facing slopes ~ 7500' elev ran ~ 800 vertical feet""
From sketch appears to be 2 releases on 7850 in usual locations - midslope below diagonal rockband, and higher near ridge.

This slide lower and larger of 2 slides.
Measurements adjusted from photo and topo 11/20/06 br"
47,Lundy,4/6/2004,Approximate,NA,NA,Peak 7850,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,Left,Top,NA,2.5,Distant,NA,NA,NA,7750,800,100,NA,NA,N/A,N/A,"-glide avalanche 2/2 on pt7850
-roughly same avalanche occurred last spring

From Lundy notebook 4/7:
""Glide releases on Pt. 7850 near Mount Geduhn, same as last year, occurred since 4/3. Pt 7850 2 glide Ax's, D2.5, E-SE, 800' vert""

From Reardon notebook 4/7:
""5 class 2.5 glide avalanches on ridge SE of Geduhn - debris very white - yesterday? Were not there on Saturday's overflight. PT 7774, next point W (pt 7850) 2 E-NE facing slopes ~ 7500' elev ran ~ 800 vertical feet""
From sketch appears to be 2 releases on 7850 in usual locations - midslope below diagonal rockband, and higher near ridge.

This slide higher and more westerly of 2 slides.
Measurements adjusted from photo and topo 11/20/06 br"
48,Lundy,4/4/2004,Approximate,NA,NA,Peak 7774,NA,No,N/A,N/A,N/A,N/A,GS,N,G,NA,NA,Left,Bottom,NA,2,Distant,NA,NA,NA,7050,4500,45,NA,NA,N/A,N/A,"glide avalanche 1/5 on this ridge


Noted 4-7; from phots on 4-7, esp earlier photo, appears that this slide older - snow on bed surface & debris appear to be from adjacent slide.

This slide lowest of slides in photo. 

Elev, aspect adjusted from photos, topo 11-20-06 br."
