Entity,Code,Year,wat_sm_number_without
Afghanistan,AFG,2000,18509221
Afghanistan,AFG,2001,19243448
Afghanistan,AFG,2002,19950749
Afghanistan,AFG,2003,20717892
Afghanistan,AFG,2004,21436557
Afghanistan,AFG,2005,22035155
Afghanistan,AFG,2006,22492140
Afghanistan,AFG,2007,22739015
Afghanistan,AFG,2008,22920117
Afghanistan,AFG,2009,23208846
Afghanistan,AFG,2010,23606659
Afghanistan,AFG,2011,24103905
Afghanistan,AFG,2012,24673944
Afghanistan,AFG,2013,25276443
Afghanistan,AFG,2014,25854552
Afghanistan,AFG,2015,26369007
Afghanistan,AFG,2016,26810000
Afghanistan,AFG,2017,27191632
Afghanistan,AFG,2018,27529335
Afghanistan,AFG,2019,27846964
Afghanistan,AFG,2020,28188417
Albania,ALB,2000,1591587
Albania,ALB,2001,1593606
Albania,ALB,2002,1594830
Albania,ALB,2003,1593761
Albania,ALB,2004,1530163
Albania,ALB,2005,1463817
Albania,ALB,2006,1394683
Albania,ALB,2007,1323311
Albania,ALB,2008,1251264
Albania,ALB,2009,1180271
Albania,ALB,2010,1111388
Albania,ALB,2011,1044708
Albania,ALB,2012,979693
Albania,ALB,2013,915860
Albania,ALB,2014,852578
Albania,ALB,2015,850046
Albania,ALB,2016,848133
Albania,ALB,2017,846880
Albania,ALB,2018,845986
Albania,ALB,2019,845091
Albania,ALB,2020,843928
Algeria,DZA,2000,9288298
Algeria,DZA,2001,9233478
Algeria,DZA,2002,9176867
Algeria,DZA,2003,9122057
Algeria,DZA,2004,9072872
Algeria,DZA,2005,9032255
Algeria,DZA,2006,9000871
Algeria,DZA,2007,8978836
Algeria,DZA,2008,8966463
Algeria,DZA,2009,8965022
Algeria,DZA,2010,8973924
Algeria,DZA,2011,8993080
Algeria,DZA,2012,9021622
Algeria,DZA,2013,9058227
Algeria,DZA,2014,9352666
Algeria,DZA,2015,9719710
Algeria,DZA,2016,10110059
Algeria,DZA,2017,10523212
Algeria,DZA,2018,11030132
Algeria,DZA,2019,11564160
Algeria,DZA,2020,12111020
American Samoa,ASM,2000,12817
American Samoa,ASM,2001,12264
American Samoa,ASM,2002,11674
American Samoa,ASM,2003,11038
American Samoa,ASM,2004,10352
American Samoa,ASM,2005,9609
American Samoa,ASM,2006,8820
American Samoa,ASM,2007,8000
American Samoa,ASM,2008,7181
American Samoa,ASM,2009,6389
American Samoa,ASM,2010,5638
American Samoa,ASM,2011,4924
American Samoa,ASM,2012,4235
American Samoa,ASM,2013,3557
American Samoa,ASM,2014,2877
American Samoa,ASM,2015,2192
American Samoa,ASM,2016,1503
American Samoa,ASM,2017,911
American Samoa,ASM,2018,908
American Samoa,ASM,2019,906
American Samoa,ASM,2020,904
Andorra,AND,2000,6121
Andorra,AND,2001,6303
Andorra,AND,2002,6556
Andorra,AND,2003,6850
Andorra,AND,2004,7137
Andorra,AND,2005,7382
Andorra,AND,2006,7581
Andorra,AND,2007,7739
Andorra,AND,2008,7849
Andorra,AND,2009,7906
Andorra,AND,2010,7905
Andorra,AND,2011,7839
Andorra,AND,2012,7715
Andorra,AND,2013,7560
Andorra,AND,2014,7414
Andorra,AND,2015,7300
Andorra,AND,2016,7235
Andorra,AND,2017,7207
Andorra,AND,2018,7208
Andorra,AND,2019,7221
Andorra,AND,2020,7232
Armenia,ARM,2000,617479
Armenia,ARM,2001,610049
Armenia,ARM,2002,602875
Armenia,ARM,2003,595788
Armenia,ARM,2004,588492
Armenia,ARM,2005,580789
Armenia,ARM,2006,572438
Armenia,ARM,2007,563607
Armenia,ARM,2008,554955
Armenia,ARM,2009,547391
Armenia,ARM,2010,541506
Armenia,ARM,2011,523659
Armenia,ARM,2012,507249
Armenia,ARM,2013,491633
Armenia,ARM,2014,476508
Armenia,ARM,2015,464315
Armenia,ARM,2016,451589
Armenia,ARM,2017,429258
Armenia,ARM,2018,415518
Armenia,ARM,2019,401572
Armenia,ARM,2020,387868
Austria,AUT,2000,286109
Austria,AUT,2001,270411
Austria,AUT,2002,254851
Austria,AUT,2003,239280
Austria,AUT,2004,223526
Austria,AUT,2005,207499
Austria,AUT,2006,191200
Austria,AUT,2007,174702
Austria,AUT,2008,158076
Austria,AUT,2009,141391
Austria,AUT,2010,124668
Austria,AUT,2011,107872
Austria,AUT,2012,92313
Austria,AUT,2013,93036
Austria,AUT,2014,93817
Austria,AUT,2015,94648
Austria,AUT,2016,95537
Austria,AUT,2017,96472
Austria,AUT,2018,97407
Austria,AUT,2019,98272
Austria,AUT,2020,99013
Azerbaijan,AZE,2000,3424257
Azerbaijan,AZE,2001,3311103
Azerbaijan,AZE,2002,3195127
Azerbaijan,AZE,2003,3075710
Azerbaijan,AZE,2004,2952089
Azerbaijan,AZE,2005,2823763
Azerbaijan,AZE,2006,2690440
Azerbaijan,AZE,2007,2552134
Azerbaijan,AZE,2008,2408998
Azerbaijan,AZE,2009,2261087
Azerbaijan,AZE,2010,2107716
Azerbaijan,AZE,2011,1948617
Azerbaijan,AZE,2012,1809669
Azerbaijan,AZE,2013,1693121
Azerbaijan,AZE,2014,1571249
Azerbaijan,AZE,2015,1443825
Azerbaijan,AZE,2016,1392860
Azerbaijan,AZE,2017,1340042
Azerbaijan,AZE,2018,1285373
Azerbaijan,AZE,2019,1231437
Azerbaijan,AZE,2020,1183975
Bahrain,BHR,2000,7750
Bahrain,BHR,2001,8024
Bahrain,BHR,2002,8340
Bahrain,BHR,2003,8711
Bahrain,BHR,2004,9153
Bahrain,BHR,2005,9666
Bahrain,BHR,2006,10268
Bahrain,BHR,2007,10934
Bahrain,BHR,2008,11669
Bahrain,BHR,2009,12319
Bahrain,BHR,2010,12807
Bahrain,BHR,2011,13098
Bahrain,BHR,2012,13226
Bahrain,BHR,2013,13370
Bahrain,BHR,2014,13584
Bahrain,BHR,2015,13948
Bahrain,BHR,2016,14497
Bahrain,BHR,2017,15191
Bahrain,BHR,2018,15957
Bahrain,BHR,2019,16686
Bahrain,BHR,2020,17301
Bangladesh,BGD,2000,57103829
Bangladesh,BGD,2001,58187172
Bangladesh,BGD,2002,59288651
Bangladesh,BGD,2003,60362236
Bangladesh,BGD,2004,61388727
Bangladesh,BGD,2005,62355667
