Type,GamesUrl,Disciplines,DisciplinesList,Country,Date,Athletes,Countries,Events,City,Year
summergames,https://www.olympic.org/athens-1896,10,"['Athletics', 'Cycling Road', 'Cycling Track', 'Fencing', 'Gymnastics Artistic', 'Shooting', 'Swimming', 'Tennis', 'Weightlifting', 'Wrestling Greco-Roman']",Greece,06 Apr - 15 Apr,241,14,43,Athens ,1896
summergames,https://www.olympic.org/paris-1900,20,"['Archery', 'Athletics', 'Basque Pelota', 'Cricket', 'Croquet', 'Cycling Track', 'Equestrian  Jumping', 'Fencing', 'Football', 'Golf', 'Gymnastics Artistic', 'Polo', 'Rowing', 'Rugby', 'Sailing', 'Shooting', 'Swimming', 'Tennis', 'Tug of War', 'Water Polo']",France,14 May - 28 Oct,997,24,95,Paris ,1900
summergames,https://www.olympic.org/st-louis-1904,19,"['Archery', 'Athletics', 'Basketball', 'Boxing', 'Cycling Track', 'Diving', 'Fencing', 'Football', 'Golf', 'Gymnastics Artistic', 'Lacrosse', 'Roque', 'Rowing', 'Swimming', 'Tennis', 'Tug of War', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle']",United States of America,01 Jul - 23 Nov,651,12,95,St Louis ,1904
summergames,https://www.olympic.org/london-1908,25,"['Archery', 'Athletics', 'Boxing', 'Cycling Track', 'Diving', 'Fencing', 'Figure skating', 'Football', 'Gymnastics Artistic', 'Hockey', 'Jeu de Paume', 'Lacrosse', 'Polo', 'Rackets', 'Rowing', 'Rugby', 'Sailing', 'Shooting', 'Swimming', 'Tennis', 'Tug of War', 'Water Motorsports', 'Water Polo', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Great Britain,27 Apr - 31 Oct,2008,22,110,London ,1908
summergames,https://www.olympic.org/stockholm-1912,18,"['Athletics', 'Cycling Road', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Tennis', 'Tug of War', 'Water Polo', 'Wrestling Greco-Roman']",Sweden,05 May - 27 Jul,2407,28,102,Stockholm ,1912
summergames,https://www.olympic.org/antwerp-1920,29,"['Archery', 'Athletics', 'Boxing', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Equestrian  Vaulting', 'Fencing', 'Figure skating', 'Football', 'Gymnastics Artistic', 'Hockey', 'Ice Hockey', 'Modern Pentathlon', 'Polo', 'Rowing', 'Rugby', 'Sailing', 'Shooting', 'Swimming', 'Tennis', 'Tug of War', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Belgium,20 Apr - 12 Sep,2622,29,156,Antwerp ,1920
wintergames,https://www.olympic.org/chamonix-1924,9,"['Bobsleigh', 'Cross Country Skiing', 'Curling', 'Figure skating', 'Ice Hockey', 'Military Patrol', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",France,25 Jan - 05 Feb,258,16,16,Chamonix ,1924
summergames,https://www.olympic.org/paris-1924,23,"['Athletics', 'Boxing', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian / Eventing', 'Equestrian / Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Modern Pentathlon', 'Polo', 'Rowing', 'Rugby', 'Sailing', 'Shooting', 'Swimming', 'Tennis', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",France,04 May - 27 Jul,3088,44,126,Paris ,1924
wintergames,https://www.olympic.org/st-moritz-1928,8,"['Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Nordic Combined', 'Skeleton', 'Ski Jumping', 'Speed skating']",Switzerland,11 Feb - 19 Feb,464,25,14,St. Moritz ,1928
summergames,https://www.olympic.org/amsterdam-1928,20,"['Athletics', 'Boxing', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Hockey', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Swimming', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Netherlands,17 May - 12 Aug,2883,46,109,Amsterdam ,1928
summergames,https://www.olympic.org/los-angeles-1932,20,"['Athletics', 'Boxing', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Gymnastics Artistic', 'Hockey', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",United States of America,30 Jul - 14 Aug,1334,37,117,Los Angeles ,1932
wintergames,https://www.olympic.org/lake-placid-1932,7,"['Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",United States of America,04 Feb - 15 Feb,252,17,14,Lake Placid ,1932
wintergames,https://www.olympic.org/garmisch-partenkirchen-1936,8,"['Alpine Skiing', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",Germany,06 Feb - 16 Feb,646,28,17,Garmisch-Partenkirchen ,1936
summergames,https://www.olympic.org/berlin-1936,25,"['Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Handball', 'Hockey', 'Modern Pentathlon', 'Polo', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Germany,01 Aug - 16 Aug,3963,49,129,Berlin ,1936
summergames,https://www.olympic.org/london-1948,23,"['Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Jumping', 'Equestrian / Eventing', 'Fencing', 'Football', 'Gymnastics Artistic', 'Hockey', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Great Britain,29 Jul - 14 Aug,4104,59,136,London ,1948
wintergames,https://www.olympic.org/st-moritz-1948,9,"['Alpine Skiing', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Nordic Combined', 'Skeleton', 'Ski Jumping', 'Speed skating']",Switzerland,30 Jan - 08 Feb,669,28,22,St. Moritz ,1948
summergames,https://www.olympic.org/helsinki-1952,23,"['Athletics', 'Basketball', 'Boxing', 'Canoe Sprint', 'Cycling Road', 'Cycling Track', 'Diving', 'Equestrian  Dressage', 'Equestrian  Eventing', 'Equestrian  Jumping', 'Fencing', 'Football', 'Gymnastics Artistic', 'Hockey', 'Modern Pentathlon', 'Rowing', 'Sailing', 'Shooting', 'Swimming', 'Water Polo', 'Weightlifting', 'Wrestling Freestyle', 'Wrestling Greco-Roman']",Finland,19 Jul - 03 Aug,4955,69,149,Helsinki ,1952
wintergames,https://www.olympic.org/oslo-1952,8,"['Alpine Skiing', 'Bobsleigh', 'Cross Country Skiing', 'Figure skating', 'Ice Hockey', 'Nordic Combined', 'Ski Jumping', 'Speed skating']",Norway,14 Feb - 25 Feb,694,30,22,Oslo ,1952
