Entity,Code,Year,Patent applications granted - Field: Banking and finance,Patent applications granted - Field: Industry and manufacturing,Patent applications granted - Field: Energy management,Patent applications granted - Field: Physical sciences and engineering,Patent applications granted - Field: Security,Patent applications granted - Field: Life sciences,Patent applications granted - Field: Transportation,Patent applications granted - Field: Business,Patent applications granted - Field: Telecommunications,Patent applications granted - Field: Personal devices and computing
Argentina,ARG,2019,0,0,0,0,0,0,0,0,1,0
Argentina,ARG,2017,0,0,1,1,0,0,0,1,0,0
Argentina,ARG,2018,0,1,0,3,0,1,0,3,0,4
Australia,AUS,2020,22,23,19,22,34,88,23,40,73,172
Australia,AUS,2019,23,12,6,11,19,49,12,45,54,99
Australia,AUS,2018,19,8,8,15,21,59,21,34,59,120
Australia,AUS,2017,14,14,6,12,15,53,25,30,41,96
Australia,AUS,2015,9,8,3,13,5,35,14,22,18,66
Australia,AUS,2016,7,15,14,13,21,53,18,39,50,106
Australia,AUS,2014,2,3,3,6,2,29,6,5,11,37
Australia,AUS,2013,2,1,1,7,1,30,2,8,6,24
Australia,AUS,2012,3,1,4,8,6,18,1,10,10,26
Australia,AUS,2011,0,4,0,5,2,17,3,2,5,15
Australia,AUS,2010,0,1,2,8,2,15,1,8,7,23
Austria,AUT,2018,0,1,0,0,0,0,1,0,0,1
Austria,AUT,2017,0,0,1,0,0,2,3,0,0,1
Austria,AUT,2016,0,0,1,0,1,2,2,0,2,4
Austria,AUT,2015,0,0,2,0,0,0,0,0,1,0
Austria,AUT,2013,0,0,0,0,0,1,2,0,1,2
Austria,AUT,2012,0,0,1,0,0,0,0,0,0,0
Austria,AUT,2010,0,0,0,0,0,0,0,0,0,0
Austria,AUT,2011,0,0,0,0,0,0,1,0,0,0
Belgium,BEL,2018,0,0,0,0,0,0,0,0,0,1
Belgium,BEL,2017,0,0,0,0,0,0,2,2,0,0
Belgium,BEL,2016,0,1,1,1,0,0,0,0,0,0
Brazil,BRA,2020,1,5,1,0,0,7,2,0,4,4
Brazil,BRA,2019,1,2,0,1,4,6,1,4,10,13
Brazil,BRA,2018,4,11,1,7,3,16,8,11,10,35
Brazil,BRA,2017,2,4,2,6,2,15,16,5,5,22
Brazil,BRA,2016,3,3,1,3,4,17,19,4,12,20
Brazil,BRA,2015,1,1,3,5,1,10,23,4,6,19
Brazil,BRA,2014,1,1,3,1,2,12,6,0,3,10
Brazil,BRA,2013,1,1,0,6,1,9,3,0,4,17
Brazil,BRA,2012,1,1,3,3,3,18,2,2,6,13
Brazil,BRA,2010,0,1,1,2,1,7,0,1,1,8
Brazil,BRA,2011,0,3,2,6,0,10,1,4,3,11
Brunei,BRN,2014,0,0,0,0,0,1,0,0,0,0
Bulgaria,BGR,2011,0,0,0,0,0,0,0,0,0,0
Canada,CAN,2020,3,6,2,4,2,20,9,11,11,28
Canada,CAN,2019,12,14,3,10,12,52,9,34,56,94
Canada,CAN,2018,21,21,11,36,27,72,34,49,68,170
Canada,CAN,2017,21,24,11,27,25,76,49,33,75,138
Canada,CAN,2016,13,20,8,16,21,70,43,51,54,136
Canada,CAN,2015,15,8,11,22,6,50,33,31,27,85
Canada,CAN,2014,2,4,12,10,5,30,11,5,16,48
Canada,CAN,2012,2,2,6,10,2,26,2,12,10,31
Canada,CAN,2013,1,4,3,12,1,37,6,11,9,36
Canada,CAN,2011,1,5,2,8,4,20,4,8,11,30
Canada,CAN,2010,0,1,4,6,2,18,1,7,6,31
Chile,CHL,2015,0,0,0,0,0,0,0,0,1,1
China,CHN,2020,258,750,957,549,646,964,866,1550,2275,8977
China,CHN,2019,170,629,727,447,379,1002,576,1200,1804,6430
China,CHN,2018,200,449,566,306,330,783,526,1069,1550,5225
China,CHN,2017,148,293,357,168,189,467,384,616,950,3570
China,CHN,2014,7,44,95,25,22,97,54,56,82,286
China,CHN,2012,2,21,50,12,9,49,12,19,37,81
China,CHN,2016,58,177,240,113,108,357,261,290,456,1913
